id;start_date;end_date;language
1;2021-01-06T14:38:33;2021-01-06T12:28:48;SPANISH
2;2021-01-05T19:28:44;2021-01-06T14:33:09;SPANISH
3;2021-01-06T10:24:03;2021-01-05T20:58:12;FRENCH
4;2021-01-06T01:41:34;2021-01-06T13:13:00;FRENCH
5;2021-01-06T11:11:52;2021-01-06T15:58:51;FRENCH
6;2021-01-06T05:04:13;2021-01-06T17:12:27;FRENCH
7;2021-01-06T06:49:33;2021-01-06T00:40:24;FRENCH
8;2021-01-06T05:45:46;2021-01-06T16:01:54;SPANISH
9;2021-01-06T04:26:55;2021-01-06T01:08:18;SPANISH
10;2021-01-06T12:38:59;2021-01-05T23:13:29;SPANISH
